number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,user_attrs_threshold,user_attrs_val_acc,state
10,0.7397166752005462,2026-06-24 19:01:20.994589,2026-06-24 19:01:21.252995,0 days 00:00:00.258406,7.930627852980058,0.47193377205650744,0.31189381818321826,4.802876655132557,17.264117821145287,0.09130420340408359,4,30,533,0.507184750245928,0.6600000000000004,0.7848605577689243,COMPLETE
11,0.755547021676054,2026-06-24 19:01:21.298382,2026-06-24 19:01:21.735793,0 days 00:00:00.437411,5.474939449587682,0.5146679558317558,0.7883053485651852,2.961713947222903,2.1737497044824496,0.011594403956910011,4,33,464,0.7337777600798135,0.4300000000000001,0.7928286852589641,COMPLETE
12,0.7501706775900323,2026-06-24 19:01:21.780189,2026-06-24 19:01:22.147344,0 days 00:00:00.367155,0.18202607496219403,0.46005167475623937,0.6795841447207428,2.84470591261811,6.774251745518729,0.031095474521079396,4,22,747,0.5198565424587712,0.48000000000000015,0.7888446215139442,COMPLETE
13,0.7632275132275133,2026-06-24 19:01:22.192345,2026-06-24 19:01:22.461556,0 days 00:00:00.269211,3.581090657441208,0.3325074999090445,0.5149061997348002,2.9337710719044976,1.5843887089719049,0.05491528432184403,4,34,52,0.7612122727698689,0.4400000000000001,0.8007968127490039,COMPLETE
14,0.758779228537293,2026-06-24 19:01:22.506725,2026-06-24 19:01:22.753272,0 days 00:00:00.246547,3.958963417979177,0.30839924026418525,0.5261631564388043,3.724195698926772,1.3385992036699268,0.05542460633750815,3,30,661,0.777324982386608,0.4100000000000001,0.7908366533864541,COMPLETE
15,0.7518561187916026,2026-06-24 19:01:22.800450,2026-06-24 19:01:23.180672,0 days 00:00:00.380222,2.860063457661646,0.3089219422957315,0.510505812351762,3.765539102315785,5.992275933227838,0.053168722589600204,4,22,401,0.6529075048387287,0.47000000000000014,0.7888446215139442,COMPLETE
16,0.7426181942310974,2026-06-24 19:01:23.225760,2026-06-24 19:01:23.541269,0 days 00:00:00.315509,9.902176160665139,0.3909069577117088,0.5871055570279576,4.751594241946801,1.5248787618038098,0.06693661028297171,3,35,259,0.585313334252449,0.6200000000000003,0.7828685258964143,COMPLETE
17,0.7507680491551461,2026-06-24 19:01:23.590522,2026-06-24 19:01:23.927444,0 days 00:00:00.336922,2.4374189327869837,0.46927309151456253,0.46889008262069976,2.203765114764498,5.444247683653565,0.03805336421345178,5,17,343,0.8001680666330888,0.5100000000000002,0.798804780876494,COMPLETE
18,0.7479945383171189,2026-06-24 19:01:23.969259,2026-06-24 19:01:24.567445,0 days 00:00:00.598186,5.2006273368063525,0.3672850055442006,0.32160042477049056,3.191687713744846,1.0618994544775604,0.023885728364738713,4,27,499,0.5751815619301163,0.5100000000000002,0.7928286852589641,COMPLETE
19,0.7518987881891108,2026-06-24 19:01:24.612226,2026-06-24 19:01:24.880808,0 days 00:00:00.268582,1.741296267204225,0.42003924643686863,0.5654606954673068,4.313347183287188,0.5219002225161582,0.07365980617933592,3,26,50,0.6894228231306853,0.5000000000000002,0.7948207171314741,COMPLETE
20,0.7553230073391363,2026-06-24 19:01:24.921119,2026-06-24 19:01:25.298221,0 days 00:00:00.377102,3.2100034756508973,0.33364237972628474,0.4888157928902661,2.3413449416691825,18.646094141622353,0.04268270283283934,4,18,201,0.5441361176743615,0.5000000000000002,0.798804780876494,COMPLETE
21,0.744047619047619,2026-06-24 19:01:25.344308,2026-06-24 19:01:25.880223,0 days 00:00:00.535915,5.059732339151334,0.30330312683501903,0.5497301344144129,3.516656358492051,1.4126515899085577,0.06279006583565543,3,35,653,0.7837305829175437,0.6400000000000003,0.7848605577689243,COMPLETE
22,0.7565070831199865,2026-06-24 19:01:25.925407,2026-06-24 19:01:26.336042,0 days 00:00:00.410635,3.7947506205003285,0.3459651323247287,0.4718989845370455,4.04417865376978,1.934860823672187,0.09978856848177636,3,30,651,0.7900646198797656,0.5600000000000003,0.7868525896414342,COMPLETE
23,0.7455623826591569,2026-06-24 19:01:26.380299,2026-06-24 19:01:26.868184,0 days 00:00:00.487885,6.897534063825423,0.43256375825842924,0.6215395297511039,3.38408740502832,0.9371669706855381,0.0479113150142594,4,37,688,0.7589007242687327,0.6500000000000004,0.7868525896414342,COMPLETE
24,0.752752176139273,2026-06-24 19:01:26.912472,2026-06-24 19:01:27.290075,0 days 00:00:00.377603,3.727811142434782,0.3001310561523565,0.41731851745081405,4.270599902058046,1.3988949308697938,0.05994723267026357,3,26,568,0.6909977001411823,0.5700000000000003,0.7948207171314741,COMPLETE
25,0.7444529783239462,2026-06-24 19:01:27.334839,2026-06-24 19:01:27.967335,0 days 00:00:00.632496,1.9979295345949117,0.5119996987143727,0.5170944085559878,2.3673042033420106,4.471022148862589,0.07414746863538668,5,30,455,0.6911348994659342,0.5600000000000003,0.7828685258964143,COMPLETE
26,0.7505867042157364,2026-06-24 19:01:28.013465,2026-06-24 19:01:28.372926,0 days 00:00:00.359461,0.7057358996408309,0.4241445602532913,0.3628837601621308,3.5938201030470998,2.8010741560180783,0.023936157335760537,4,32,604,0.8290042962948816,0.46000000000000013,0.796812749003984,COMPLETE
27,0.7505973715651135,2026-06-24 19:01:28.417434,2026-06-24 19:01:29.070233,0 days 00:00:00.652799,4.2801942921603855,0.591587749250705,0.45401498096801784,4.511133098699279,8.670613481650726,0.038860510305415576,2,38,727,0.8254953382288774,0.5400000000000003,0.7848605577689243,COMPLETE
